ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
410006568,79,76,VAPA,VAPA_04,6,S,,H3,"plant missing, presumed dead",FOREG_27,410,2021
410006569,75,75,VAPA,VAPA_05,6,S,,H3,"plant missing, presumed dead",FOREG_27,410,2021
410006570,81,67,VAPA,47202,1,S,,I4,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006571,78,71,VAPA,VAPA_06,6,S,,H3,"plant missing, presumed dead",FOREG_27,410,2021
410006572,82,69,VAPA,VAPA_07,6,S,,G2,"plant missing, presumed dead",FOREG_27,410,2021
410006573,70,84,VAPA,47284,1,S,185,H2,,FOREG_27,410,2023
410006574,69,75,VAPA,VAPA_08,6,S,,G3,"plant missing, presumed dead",FOREG_27,410,2021
410006575,65,75,VAPA,VAPA_09,6,S,,G3,"plant missing, presumed dead",FOREG_27,410,2021
410006576,79,55,VAPA,VAPA_10,6,S,,H5,"plant missing, presumed dead",FOREG_27,410,2021
410006577,65,72,VAPA,47216,6,S,,G3,,FOREG_27,410,2023
410006578,65,72,VAPA,47239,1,S,,F2,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006579,59,82,VAPA,47237,1,S,,F2,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006580,55,82,VAPA,47259,1,S,,F3,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006581,58,66,VAPA,47211,1,S,,F4,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006582,62,57,VAPA,47238,1,S,241,G5,,FOREG_27,410,2023
410006583,49,87,VAPA,47201,7,S,,F2,,FOREG_27,410,2022
410006584,50,91,TABR,47271,7,S,,F1,,FOREG_27,410,2021
410006585,49,100,BENE,47298,1,S,,E1,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006586,15,82,TSHE,47225,1,S,,B2,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006587,19,60,VAPA,VAPA_11,6,S,,B4,"plant missing, presumed dead",FOREG_27,410,2021
410006588,66,9,VAPA,47236,1,S,,G10,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006589,68,13,VAPA,47270,1,S,,G9,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006590,63,12,VAPA,47223,1,S,93,G9,Leader dead,FOREG_27,410,2023
410006591,68,3,VAPA,47280,9,S,,G10,,FOREG_27,410,2022
410006592,57,40,VAPA,47209,1,S,137,F6,,FOREG_27,410,2023
410006593,53,42,VAPA,47226,1,S,151,F6,,FOREG_27,410,2023
410006594,54,43,VAPA,47277,1,S,,F6,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006595,52,21,VAPA,VAPA_12,6,S,,F8,"plant missing, presumed dead",FOREG_27,410,2021
410006596,42,18,VAPA,47251,1,S,,E9,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006597,37,20,CHUM,35218,9,S,,D8,"NO TAG, NO PLANT, EDT 2021_ TAG CORRECTED",FOREG_27,410,2021
410006598,37,20,VAPA,35243,1,S,60,C8,,FOREG_27,410,2023
410006599,51,38,VAPA,35290,1,S,196,F7,,FOREG_27,410,2023
410006600,42,29,CHUM,47316,7,S,,E8,,FOREG_27,410,2021
410006601,42,29,VAPA,47350,1,S,,E8,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006602,42,30,VAPA,47380,1,S,138,E7,,FOREG_27,410,2023
410006603,43,29,VAPA,47387,7,S,,E8,,FOREG_27,410,2022
410006604,37,38,VAPA,VAPA_13,6,S,,D7,"plant missing, presumed dead",FOREG_27,410,2021
410006605,24,30,VAPA,VAPA_14,6,S,,C7,"plant missing, presumed dead",FOREG_27,410,2021
410006606,24,32,VAPA,VAPA_15,6,S,,C7,"plant missing, presumed dead",FOREG_27,410,2021
410006607,27,19,VAPA,47301,1,S,33,B8,,FOREG_27,410,2023
410006608,31,37,VAPA,43282,6,S,,C7,BURIED,FOREG_27,410,2022
410006609,22,38,CHUM,43293,6,S,,C7,,FOREG_27,410,2023
410006610,43,41,VAPA,43208,6,S,,D6,,FOREG_27,410,2022
410006611,35,37,VAPA,47342,1,S,205,D6,,FOREG_27,410,2023
410006612,36,44,VAPA,35297,1,S,,D6,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006613,30,43,VAPA,35287,1,S,94,D6,,FOREG_27,410,2023
410006614,30,39,VAPA,35260,1,S,103,D7,,FOREG_27,410,2023
410006615,25,42,VAPA,43245,1,S,,C6,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006616,28,40,VAPA,43300,1,S,,C7,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
410006617,38,41,VAPA,47386,7,S,,D6,,FOREG_27,410,2022
410006618,29,45,VAPA,47333,1,S,,C6,"CJD: no 2023 record, may have been missed",FOREG_27,410,2023
