ID,GX,GY,Species,Tag,PrevStatus,PrevIDqual,PrevHt,Cell,PrevComments,StandID,Plot,PrevYear
645100145,28,95,BENE,12492,2,S,40,C1,,BURNED,645,2023
644100146,90,90,BENE,12496,2,S,30,J1,,BURNED,644,2023
619100147,75,37,PSME,12499,2,S,76,H7,,BURNED,619,2023
645100148,77,47,PSME,12500,1,S,139,H6,48733 tag lost,BURNED,645,2023
606100149,75,50,GASH,12718,1,S,39,H5,48874 tag replaced 2023,BURNED,606,2023
614100150,59,18,TSHE,12727,2,S,16,F9,,BURNED,614,2023
614100151,71,17,CHUM,12739,2,S,15,G9,ODD,BURNED,614,2023
610100152,91,93,PSME,12755,2,S,56,J1,,BURNED,610,2023
614100153,46,68,TSHE,12762,2,S,25,E4,,BURNED,614,2023
614100154,63,18,TSHE,12781,2,S,39,G9,,BURNED,614,2023
610100155,3,73,PSME,12790,2,S,25,A3,,BURNED,610,2023
666100156,80,50,BENE,35016,2,S,17,I5,,BURNED,666,2023
675100157,26,67,ARME,35018,2,S,48,C4,,BURNED,675,2023
601100158,60,65,ARME,35422,2,S,29,G4,,BURNED,601,2023
601100159,55,65,ARME,35473,2,S,28,F4,,BURNED,601,2023
601100160,64,55,ARME,35578,2,S,25,F4,,BURNED,601,2023
652100161,98,1,ARME,37638,2,S,63,J10,,BURNED,652,2023
606100162,84,73,CESA,37651,2,S,29,I3,,BURNED,606,2023
606100163,57,60,PSME,37655,2,S,40,F4,,BURNED,606,2023
654100164,97,38,BENE,37662,2,S,16,J7,,BURNED,654,2023
606100165,78,22,CEVE,37674,1,S,56,H8,47642 tag changed 2023,BURNED,606,2023
606100166,68,34,CESA,37820,2,S,32,G7,,BURNED,606,2023
646100167,50,1,PSME,38030,2,S,42,F10,,BURNED,646,2023
675100168,70,79,BENE,38565,2,S,55,H3,Might have been missed in previous years,BURNED,675,2023
606100169,81,74,CESA,43030,2,S,29,I3,,BURNED,606,2023
606100170,86,63,CESA,43174,2,S,35,I6,,BURNED,606,2023
675100171,49,83,ARME,45184,2,S,91,E3,,BURNED,675,2023
601100172,55,60,ARME,45362,2,S,31,F4,,BURNED,601,2023
601100173,45,90,CEVE,45384,2,S,89,E1,,BURNED,601,2023
640100174,84,30,BENE,45512,2,S,56,I8,,BURNED,640,2023
611100175,18,9,TSHE,45668,1,S,24,B9,,BURNED,611,2023
606100176,85,73,CESA,47201,2,S,26,I3,,BURNED,606,2023
639100177,22,73,SYMO,47603,1,S,245,C2,,BURNED,639,2023
666100178,10,26,BENE,47604,1,S,45,B8,,BURNED,666,2023
623100179,85,82,TSHE,47609,1,S,46,I2,,BURNED,623,2023
650100180,95,88,BENE,47612,1,S,30,J2,Tag changed from 49612,BURNED,650,2023
675100181,94,36,BENE,47613,1,S,23,J7,,BURNED,675,2023
619100182,76,97,BENE,47618,1,S,33,H1,,BURNED,619,2023
666100183,91,3,BENE,47619,1,S,35,J10,,BURNED,666,2023
606100184,71,49,BENE,47621,1,S,79,H6,,BURNED,606,2023
623100185,41,49,BENE,47622,1,S,67,E6,,BURNED,623,2023
609100186,35,89,PSME,47624,6,S,,D2,,BURNED,609,2023
609100187,8,48,CESA,47632,6,S,,A6,,BURNED,609,2023
675100188,79,87,BENE,47633,1,S,44,H2,,BURNED,675,2023
669100189,58,3,PSME,47643,6,S,,F10,,BURNED,669,2023
623100190,24,46,PSME,47646,1,S,125,C6,,BURNED,623,2023
646100191,12,100,ARME,47649,1,S,203,B1,,BURNED,646,2023
674100192,74,82,BENE,47650,1,S,17,H2,,BURNED,674,2023
644100193,50,60,TSHE,47654,1,S,87,F4,,BURNED,644,2023
606100194,82,67,CEVE,47656,6,S,,I4,,BURNED,606,2023
607100195,11,20,BENE,47659,1,S,64,B8,,BURNED,607,2023
606100196,79,77,CESA,47661,1,S,28,I3,,BURNED,606,2023
606100197,79,35,CEVE,47662,6,S,,H7,,BURNED,606,2023
667100198,92,62,PSME,47673,1,S,116,J4,,BURNED,667,2023
640100199,62,71,BENE,47676,1,S,67,G3,,BURNED,640,2023
639100200,30,77,SYMO,47680,1,S,241,D3,,BURNED,639,2023
658100201,81,89,PSME,47683,6,S,,I1,,BURNED,658,2023
654100202,89,12,BENE,47685,1,S,60,I9,,BURNED,654,2023
622100203,89,78,BENE,47693,1,S,34,I3,,BURNED,622,2023
635100204,71,59,PSME,47694,7,S,,H5,,BURNED,635,2023
622100205,71,55,BENE,47699,1,S,54,H5,,BURNED,622,2023
622100206,55,7,CESA,47723,1,S,111,F10,,BURNED,622,2023
622100207,27,59,CEVE,47730,6,S,,C5,,BURNED,622,2023
635100208,8,1,CESA,47744,1,S,370,A10,,BURNED,635,2023
622100209,37,58,CEVE,47747,1,S,149,D5,,BURNED,622,2023
622100210,31,54,CEVE,47766,1,S,123,D5,,BURNED,622,2023
622100211,37,8,CEVE,47767,1,S,144,D10,,BURNED,622,2023
622100212,21,40,CEVE,47771,6,S,,C6,,BURNED,622,2023
622100213,19,28,CEVE,47777,1,S,117,B8,,BURNED,622,2023
623100214,18,98,CEVE,47778,1,S,393,B1,,BURNED,623,2023
622100215,26,59,CEVE,47780,6,S,,C5,,BURNED,622,2023
622100216,20,44,CEVE,47784,1,S,105,C6,,BURNED,622,2023
622100217,22,39,CEVE,47787,6,S,,C7,,BURNED,622,2023
601100218,99,25,CEVE,47790,1,S,268,J8,,BURNED,601,2023
636100219,27,73,CESA,47799,1,S,305,C3,,BURNED,636,2023
607100220,2,29,BENE,47901,1,S,35,A8,,BURNED,607,2023
605100221,34,15,BENE,47903,1,S,33,D9,,BURNED,605,2023
622100222,29,10,CEVE,47904,1,S,75,C9,,BURNED,622,2023
623100223,5,32,BENE,47906,1,S,9,A7,Leader dieback,BURNED,623,2023
635100224,62,61,BENE,47908,6,S,,G4,,BURNED,635,2023
606100225,74,50,CESA,47909,1,S,34,I6,,BURNED,606,2023
609100226,5,40,CESA,47910,1,S,56,A6,Tag replaced,BURNED,609,2023
667100227,67,12,BENE,47911,1,S,92,G9,,BURNED,667,2023
654100228,82,10,BENE,47912,1,S,55,I9,,BURNED,654,2023
615100229,81,95,TSHE,47914,6,S,,I1,,BURNED,615,2023
609100230,50,57,BENE,47916,1,S,28,F5,,BURNED,609,2023
667100231,10,37,CESA,47917,1,S,198,A7,Sp conf CESA 2023,BURNED,667,2023
